#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#------------------------------------------------------------------------------------------------------------------------------------------
-13.014507509180	-6.9872455596924	98.440254211426
-12.980258805209	-7.9756202697754	97.911911010742
-12.946010101237	-8.9640216827393	97.383552551270
-12.911761397266	-9.8814086914062	96.937011718750
-12.877512693294	-10.782858848572	96.508834838867
-12.843263989323	-11.653583526611	96.109710693359
-12.809015285351	-12.433656692505	95.796249389648
-12.774766581379	-13.213729858398	95.482780456543
-12.740517877408	-13.887969970703	95.256248474121
-12.706269173436	-14.514630317688	95.068778991699
-12.672020469465	-15.118485450745	94.898330688477
-12.637771765493	-15.565093040466	94.845260620117
-12.603523061522	-16.011686325073	94.792190551758
-12.569274357550	-16.344587326050	94.817466735840
-12.535025653579	-16.589340209961	94.903457641602
-12.500776949607	-16.834093093872	94.989448547363
-12.466528245636	-16.862886428833	95.213905334473
-12.432279541664	-16.891677856445	95.438354492188
-12.398030837693	-16.813627243042	95.727409362793
-12.363782133721	-16.619087219238	96.086891174316
-12.329533429750	-16.424551010132	96.446365356445
-12.295284725778	-16.013685226440	96.928497314453
-12.261036021807	-15.593078613281	97.416137695312
-12.226787317835	-15.075829505920	97.955154418945
-12.192538613864	-14.433197975159	98.560829162598
-12.158289909892	-13.790585517883	99.166481018066
-12.124041205920	-12.953714370728	99.867416381836
-12.089792501949	-12.098478317261	100.57736968994
-12.055543797977	-11.166239738464	101.32161712646
-12.021295094006	-10.114620208740	102.11904907227
-11.987046390034	-9.0629701614380	102.91650390625
-11.952797686063	-7.8591337203979	103.77275085449
-11.918548982091	-6.6326384544373	104.63775634766
-11.884300278120	-5.3541336059570	105.51863098145
-11.850051574148	-3.9785718917847	106.42913818359
-11.815802870177	-2.6029720306396	107.33967590332
-11.781554166205	-1.1294226646423	108.26785278320
-11.747305462234	0.36455357074738	109.19971466064
-11.713056758262	1.8847627639771	110.13052368164
-11.678808054291	3.4643557071686	111.05886077881
-11.644559350319	5.0439925193787	111.98722076416
-11.610310646348	6.6630306243896	112.89230346680
-11.576061942376	8.2929134368896	113.79098510742
-11.541813238404	9.9265747070312	114.67532348633
-11.507564534433	11.570661544800	115.51933288574
-11.473315830461	13.214749336243	116.36334991455
-11.439067126490	14.842938423157	117.14823913574
-11.404818422518	16.465515136719	117.91245269775
-11.370569718547	18.075731277466	118.65410614014
-11.336321014575	19.642068862915	119.31565093994
-11.302072310604	21.208362579346	119.97718048096
-11.267823606632	22.712917327881	120.55292510986
-11.233574902661	24.190710067749	121.09155273438
-11.199326198689	25.647750854492	121.60533905029
-11.165077494718	27.008008956909	122.00327301025
-11.130828790746	28.368227005005	122.40119934082
-11.096580086775	29.635120391846	122.69769287109
-11.062331382803	30.852882385254	122.94076538086
-11.028082678832	32.048858642578	123.16191864014
-10.993833974860	33.103530883789	123.24070739746
-10.959585270889	34.158176422119	123.31948852539
-10.925336566917	35.103942871094	123.29446411133
-10.891087862945	35.980659484863	123.20358276367
-10.856839158974	36.840412139893	123.09733581543
-10.822590455002	37.529460906982	122.83617401123
-10.788341751031	38.218532562256	122.57501220703
-10.754093047059	38.798557281494	122.21958923340
-10.719844343088	39.295890808105	121.79268646240
-10.685595639116	39.784282684326	121.35838317871
-10.651346935145	40.091716766357	120.77484130859
-10.617098231173	40.399158477783	120.19127655029
-10.582849527202	40.610404968262	119.53298950195
-10.548600823230	40.734832763672	118.80724334717
